Domain,Average Sentiment,Top Keywords (Frequency),Total Responses
Finance,0.52,"{'budgeting': 41, 'loan': 77, 'banking': 33}",127
Gaming,0.66,"{'mobile': 73, 'gameplay': 52, 'esports': 71}",41
Security,0.46,"{'authentication': 21, 'encryption': 56, 'data breaches': 26}",164
Education,0.28,"{'platform': 49, 'interface': 77, 'exams': 35}",100
Retail,0.62,"{'stock': 98, 'availability': 30, 'returns': 75}",83
Food & Beverage,0.73,"{'gourmet': 73, 'fast food': 46, 'health': 81}",110
Entertainment,0.88,"{'music': 29, 'content quality': 23, 'subscriptions': 30}",174
Gaming,0.52,"{'storyline': 82, 'PC': 85, 'gameplay': 36}",126
Food & Beverage,0.25,"{'fast food': 67, 'sustainability': 49, 'health': 43}",189
Aerospace,0.89,"{'space travel': 81, 'defense': 80, 'rockets': 60}",118
Food & Beverage,0.96,"{'delivery': 29, 'sustainability': 84, 'ingredients': 31}",102
Education,0.73,"{'assessment': 91, 'curriculum': 99, 'learning': 44}",198
Gaming,0.16,"{'esports': 77, 'multiplayer': 36, 'VR': 27}",76
Fashion,0.52,"{'seasons': 66, 'trends': 22, 'luxury': 29}",141
Healthcare,0.04,"{'wait times': 48, 'access': 45, 'hospital': 40}",107
Government,0.58,"{'budget': 91, 'taxation': 26, 'security': 83}",165
Retail,0.92,"{'pricing': 75, 'discount': 46, 'availability': 39}",125
Government,0.22,"{'policy': 78, 'legislation': 43, 'healthcare reform': 41}",82
Food & Beverage,0.8,"{'ingredients': 63, 'recipes': 57, 'fast food': 86}",162
Entertainment,1.0,"{'concerts': 79, 'box office': 84, 'content quality': 74}",116
Fashion,0.53,"{'brands': 85, 'accessories': 77, 'seasons': 74}",72
Agriculture,0.69,"{'fertilizers': 40, 'pesticides': 81, 'weather': 92}",116
Real Estate,0.93,"{'construction': 94, 'location': 50, 'investment': 58}",61
Aerospace,0.98,"{'fuel efficiency': 97, 'space travel': 36, 'satellites': 71}",82
E-commerce,0.48,"{'inventory': 91, 'service': 45, 'tracking': 63}",194
Telecommunications,0.89,"{'coverage': 72, 'billing': 75, '5G': 45}",125
Hospitality,0.75,"{'service': 46, 'reviews': 99, 'customer experience': 29}",119
Healthcare,0.46,"{'telehealth': 96, 'challenges': 55, 'insurance': 83}",41
Retail,0.27,"{'discount': 60, 'sales': 44, 'availability': 63}",31
Food & Beverage,0.26,"{'organic': 24, 'delivery': 36, 'gourmet': 42}",52
Security,0.22,"{'authentication': 56, 'encryption': 86, 'surveillance': 63}",77
Gaming,0.17,"{'storyline': 66, 'multiplayer': 54, 'graphics': 96}",130
Agriculture,0.71,"{'weather': 30, 'livestock': 42, 'crops': 43}",182
Real Estate,0.1,"{'amenities': 21, 'mortgage': 97, 'construction': 87}",64
Security,0.18,"{'malware': 64, 'surveillance': 90, 'authentication': 20}",151
Gaming,0.54,"{'gameplay': 100, 'VR': 62, 'esports': 50}",32
Telecommunications,0.59,"{'5G': 25, 'roaming': 84, 'coverage': 89}",195
Technology,0.78,"{'performance': 65, 'speed': 97, 'cloud': 98}",142
Hospitality,0.02,"{'service': 84, 'restaurants': 38, 'luxury': 72}",67
Retail,0.43,"{'availability': 99, 'stock': 90, 'sales': 85}",108
Retail,0.62,"{'returns': 47, 'offers': 74, 'promotions': 36}",159
Aerospace,0.31,"{'safety': 62, 'aviation': 32, 'space travel': 37}",129
Retail,0.76,"{'sales': 45, 'pricing': 90, 'availability': 34}",33
Fashion,0.02,"{'brands': 26, 'accessories': 37, 'fabric': 63}",38
Food & Beverage,0.48,"{'organic': 100, 'fast food': 65, 'restaurants': 65}",170
Education,0.14,"{'students': 75, 'curriculum': 22, 'teachers': 24}",50
E-commerce,0.03,"{'tracking': 54, 'inventory': 94, 'pricing': 86}",175
Pharmaceuticals,0.13,"{'side effects': 69, 'FDA': 99, 'biotechnology': 90}",100
Healthcare,0.69,"{'patient care': 87, 'medications': 78, 'challenges': 47}",94
Aerospace,0.94,"{'fuel efficiency': 82, 'defense': 74, 'engineering': 47}",30
Technology,0.34,"{'bug': 27, 'software': 71, 'AI': 100}",120
Fashion,0.2,"{'brands': 98, 'retail': 39, 'luxury': 66}",122
Energy,0.3,"{'carbon footprint': 100, 'nuclear': 34, 'sustainability': 41}",122
Fashion,0.1,"{'luxury': 26, 'runway': 76, 'accessories': 37}",32
Finance,0.59,"{'insurance': 66, 'loan': 45, 'taxes': 22}",196
Education,0.08,"{'features': 70, 'learning': 48, 'exams': 64}",122
Gaming,0.72,"{'graphics': 62, 'multiplayer': 79, 'mobile': 84}",164
Automobile,0.17,"{'performance': 99, 'design': 50, 'warranty': 78}",87
Healthcare,0.41,"{'access': 30, 'hospital': 62, 'challenges': 84}",102
Technology,0.27,"{'performance': 90, 'speed': 92, 'cloud': 93}",46
Food & Beverage,0.22,"{'sustainability': 53, 'restaurants': 73, 'ingredients': 94}",67
Hospitality,0.87,"{'restaurants': 72, 'travel': 75, 'tourism': 60}",200
Healthcare,0.4,"{'treatment': 36, 'telehealth': 26, 'medications': 70}",129
Entertainment,0.63,"{'movies': 53, 'concerts': 56, 'awards': 58}",51
Pharmaceuticals,0.45,"{'research': 42, 'drug development': 46, 'healthcare': 51}",153
Security,0.85,"{'authentication': 95, 'cyberattacks': 52, 'passwords': 98}",144
Food & Beverage,0.61,"{'sustainability': 76, 'fast food': 21, 'gourmet': 70}",34
Telecommunications,0.24,"{'network': 78, 'data plans': 57, 'infrastructure': 83}",144
Automobile,0.76,"{'safety': 24, 'warranty': 84, 'insurance': 32}",68
Entertainment,0.99,"{'content quality': 86, 'music': 38, 'concerts': 32}",89
E-commerce,0.67,"{'service': 23, 'delivery': 56, 'discounts': 36}",57
Fashion,0.32,"{'brands': 31, 'luxury': 51, 'designers': 36}",182
Gaming,0.01,"{'mobile': 81, 'storyline': 87, 'VR': 78}",185
Agriculture,0.34,"{'pesticides': 23, 'livestock': 30, 'farming': 67}",104
Education,0.98,"{'assessment': 88, 'platform': 100, 'students': 86}",184
Fashion,0.29,"{'designers': 82, 'fabric': 26, 'accessories': 73}",90
Government,0.15,"{'elections': 45, 'healthcare reform': 95, 'budget': 88}",114
Gaming,0.86,"{'gameplay': 95, 'updates': 82, 'mobile': 64}",156
Energy,0.0,"{'nuclear': 74, 'solar': 21, 'sustainability': 25}",130
Agriculture,0.6,"{'soil quality': 95, 'irrigation': 49, 'sustainability': 48}",185
Aerospace,0.97,"{'rockets': 62, 'missions': 67, 'space travel': 99}",180
Aerospace,0.09,"{'NASA': 99, 'fuel efficiency': 28, 'rockets': 64}",111
Food & Beverage,0.21,"{'gourmet': 84, 'sustainability': 28, 'organic': 99}",101
Energy,0.2,"{'electricity': 58, 'wind': 72, 'carbon footprint': 37}",147
Security,0.38,"{'data breaches': 64, 'malware': 76, 'hacking': 63}",128
Technology,0.05,"{'performance': 51, 'cybersecurity': 60, 'cloud': 55}",158
Entertainment,0.69,"{'subscriptions': 25, 'content quality': 65, 'streaming': 85}",65
Hospitality,0.62,"{'luxury': 27, 'customer experience': 75, 'tourism': 24}",55
Fashion,0.57,"{'designers': 95, 'runway': 83, 'streetwear': 80}",103
Healthcare,0.66,"{'telehealth': 55, 'diagnosis': 36, 'hospital': 68}",145
Hospitality,0.18,"{'service': 98, 'restaurants': 27, 'luxury': 40}",124
Automobile,0.75,"{'fuel efficiency': 73, 'mileage': 20, 'safety': 42}",129
Agriculture,0.21,"{'irrigation': 71, 'crops': 84, 'weather': 37}",89
Healthcare,0.74,"{'insurance': 74, 'hospital': 99, 'diagnosis': 100}",173
E-commerce,0.09,"{'pricing': 89, 'inventory': 26, 'refund': 90}",115
Education,0.5,"{'features': 98, 'curriculum': 78, 'teachers': 81}",83
Fashion,0.39,"{'seasons': 100, 'trends': 62, 'designers': 76}",171
Hospitality,0.53,"{'customer experience': 85, 'reservations': 34, 'restaurants': 46}",115
Gaming,0.69,"{'multiplayer': 78, 'VR': 43, 'esports': 42}",199
Hospitality,0.02,"{'tourism': 57, 'travel': 20, 'reservations': 75}",129
Security,0.61,"{'authentication': 98, 'surveillance': 87, 'passwords': 43}",132
Education,0.66,"{'students': 26, 'platform': 73, 'interface': 70}",120
Retail,0.68,"{'discount': 43, 'pricing': 37, 'customer service': 38}",152
E-commerce,0.18,"{'checkout': 65, 'pricing': 47, 'delivery': 28}",123
Real Estate,0.1,"{'mortgage': 91, 'housing market': 58, 'construction': 96}",120
Gaming,0.93,"{'updates': 32, 'storyline': 87, 'graphics': 36}",68
Healthcare,0.39,"{'medications': 96, 'treatment': 36, 'insurance': 26}",191
E-commerce,0.44,"{'tracking': 77, 'refund': 87, 'wishlist': 59}",180
Technology,0.25,"{'speed': 58, 'bug': 27, 'cloud': 22}",151
E-commerce,0.46,"{'inventory': 30, 'customer support': 52, 'service': 85}",77
Automobile,0.73,"{'maintenance': 21, 'mileage': 81, 'design': 57}",38
Pharmaceuticals,0.25,"{'research': 47, 'FDA': 38, 'medications': 89}",121
Automobile,0.23,"{'design': 37, 'warranty': 36, 'features': 63}",112
E-commerce,0.33,"{'wishlist': 22, 'pricing': 39, 'service': 26}",116
Fashion,0.39,"{'trends': 72, 'luxury': 38, 'streetwear': 49}",129
Automobile,0.97,"{'features': 64, 'warranty': 86, 'fuel efficiency': 40}",56
Education,0.06,"{'platform': 30, 'teachers': 27, 'learning': 38}",191
Fashion,0.24,"{'seasons': 26, 'runway': 84, 'brands': 99}",78
E-commerce,0.85,"{'pricing': 37, 'tracking': 48, 'customer support': 78}",72
Technology,0.51,"{'hardware': 65, 'AI': 81, 'cybersecurity': 20}",167
Real Estate,0.93,"{'pricing': 40, 'construction': 88, 'investment': 52}",31
Entertainment,0.71,"{'content quality': 38, 'movies': 28, 'reviews': 66}",172
Gaming,0.32,"{'console': 77, 'PC': 50, 'gameplay': 20}",111
Retail,0.5,"{'pricing': 63, 'loyalty programs': 64, 'returns': 82}",111
Government,0.87,"{'healthcare reform': 65, 'legislation': 38, 'taxation': 32}",74
Aerospace,0.68,"{'space travel': 51, 'missions': 64, 'satellites': 43}",42
Aerospace,0.35,"{'space travel': 94, 'fuel efficiency': 63, 'rockets': 68}",194
Real Estate,0.73,"{'construction': 31, 'pricing': 56, 'location': 26}",54
Telecommunications,0.8,"{'5G': 74, 'infrastructure': 34, 'signal': 55}",51
Fashion,0.09,"{'streetwear': 22, 'fabric': 48, 'runway': 35}",184
Telecommunications,0.26,"{'ISP': 88, 'signal': 48, 'billing': 67}",171
Fashion,0.42,"{'brands': 99, 'luxury': 64, 'designers': 45}",183
Food & Beverage,0.24,"{'cuisine': 72, 'fast food': 76, 'sustainability': 85}",75
E-commerce,0.89,"{'inventory': 100, 'customer support': 79, 'delivery': 64}",41
Pharmaceuticals,0.07,"{'side effects': 55, 'healthcare': 64, 'clinical trials': 73}",61
Technology,0.3,"{'speed': 56, 'AI': 25, 'performance': 38}",143
Energy,0.7,"{'electricity': 67, 'solar': 78, 'wind': 92}",75
Real Estate,0.88,"{'housing market': 52, 'amenities': 66, 'mortgage': 73}",96
Telecommunications,0.08,"{'infrastructure': 85, 'ISP': 95, 'customer support': 24}",47
Energy,0.13,"{'electricity': 56, 'power grid': 79, 'wind': 79}",61
Energy,0.17,"{'electricity': 42, 'sustainability': 29, 'power grid': 65}",129
Retail,0.73,"{'offers': 32, 'sales': 70, 'pricing': 49}",49
Agriculture,0.95,"{'fertilizers': 65, 'pesticides': 27, 'weather': 41}",135
Retail,0.33,"{'pricing': 35, 'returns': 92, 'discount': 90}",118
Hospitality,0.65,"{'reservations': 41, 'hotels': 29, 'tourism': 33}",38
Technology,0.63,"{'cloud': 26, 'cybersecurity': 50, 'performance': 28}",95
Agriculture,0.54,"{'weather': 45, 'crops': 56, 'soil quality': 77}",176
E-commerce,0.38,"{'pricing': 81, 'discounts': 97, 'customer support': 68}",190
Finance,0.04,"{'loan': 23, 'credit': 75, 'debt': 33}",126
Government,0.85,"{'regulations': 97, 'budget': 80, 'public services': 76}",200
Hospitality,0.89,"{'luxury': 51, 'hotels': 55, 'customer experience': 21}",156
Real Estate,0.38,"{'rent': 89, 'mortgage': 61, 'amenities': 29}",63
Agriculture,0.7,"{'crops': 94, 'sustainability': 74, 'weather': 86}",184
Government,0.38,"{'public services': 80, 'laws': 81, 'policy': 97}",155
Education,0.13,"{'interface': 22, 'learning': 89, 'features': 21}",171
Real Estate,0.05,"{'property tax': 87, 'availability': 71, 'amenities': 52}",48
Hospitality,0.91,"{'service': 62, 'reservations': 30, 'reviews': 40}",187
Energy,0.72,"{'carbon footprint': 55, 'power grid': 67, 'wind': 31}",77
Agriculture,0.6,"{'livestock': 29, 'fertilizers': 52, 'farming': 33}",30
Automobile,0.33,"{'design': 82, 'insurance': 26, 'repairs': 43}",68
Aerospace,0.4,"{'NASA': 51, 'fuel efficiency': 90, 'missions': 79}",64
Finance,0.22,"{'loan': 93, 'interest': 28, 'insurance': 77}",50
Hospitality,0.69,"{'hotels': 64, 'customer experience': 38, 'service': 58}",189
Security,0.06,"{'surveillance': 88, 'encryption': 85, 'hacking': 51}",156
Gaming,0.39,"{'gameplay': 37, 'multiplayer': 60, 'PC': 24}",174
Telecommunications,0.93,"{'infrastructure': 36, 'billing': 49, 'signal': 87}",191
Energy,0.12,"{'nuclear': 57, 'gas': 32, 'carbon footprint': 65}",43
Technology,0.79,"{'AI': 73, 'update': 86, 'hardware': 33}",107
Entertainment,0.64,"{'box office': 48, 'subscriptions': 52, 'streaming': 34}",192
Agriculture,0.31,"{'harvest': 21, 'fertilizers': 64, 'livestock': 63}",118
E-commerce,0.61,"{'pricing': 78, 'wishlist': 89, 'tracking': 73}",61
E-commerce,0.6,"{'service': 47, 'inventory': 44, 'tracking': 70}",118
Government,0.08,"{'public services': 86, 'security': 71, 'healthcare reform': 24}",166
Security,0.02,"{'passwords': 54, 'malware': 82, 'biometrics': 95}",46
E-commerce,0.47,"{'wishlist': 41, 'tracking': 95, 'service': 36}",33
Government,0.25,"{'taxation': 24, 'security': 82, 'regulations': 34}",125
Automobile,0.33,"{'fuel efficiency': 48, 'mileage': 77, 'features': 34}",166
Security,0.27,"{'biometrics': 79, 'malware': 98, 'data breaches': 39}",108
Hospitality,0.32,"{'reviews': 45, 'reservations': 66, 'luxury': 53}",108
Real Estate,0.39,"{'housing market': 86, 'property tax': 85, 'location': 91}",134
Aerospace,0.82,"{'engineering': 56, 'rockets': 49, 'space travel': 72}",99
Automobile,0.1,"{'warranty': 26, 'performance': 32, 'insurance': 52}",147
Security,0.62,"{'authentication': 90, 'cyberattacks': 48, 'malware': 100}",151
Aerospace,0.15,"{'safety': 22, 'rockets': 55, 'aviation': 30}",162
Technology,0.21,"{'performance': 29, 'hardware': 40, 'cloud': 88}",65
Gaming,0.62,"{'multiplayer': 59, 'VR': 21, 'gameplay': 24}",115
Healthcare,0.71,"{'medications': 97, 'wait times': 84, 'hospital': 42}",120
Aerospace,0.46,"{'safety': 45, 'defense': 90, 'aviation': 75}",92
Gaming,0.18,"{'VR': 57, 'multiplayer': 60, 'PC': 75}",144
Entertainment,0.2,"{'video games': 26, 'music': 53, 'reviews': 67}",182
Education,0.61,"{'assessment': 88, 'learning': 43, 'platform': 93}",99
Education,0.99,"{'platform': 33, 'exams': 76, 'features': 47}",155
Hospitality,0.04,"{'hotels': 74, 'service': 25, 'travel': 39}",75
Food & Beverage,0.69,"{'fast food': 37, 'organic': 22, 'health': 92}",140
Telecommunications,0.55,"{'5G': 61, 'infrastructure': 72, 'customer support': 64}",135
Finance,0.25,"{'savings': 24, 'investment': 75, 'debt': 97}",98
Agriculture,0.48,"{'irrigation': 28, 'harvest': 93, 'fertilizers': 85}",31
Retail,0.25,"{'promotions': 24, 'offers': 28, 'discount': 78}",73
Telecommunications,0.74,"{'roaming': 67, 'billing': 47, 'customer support': 74}",125
Government,0.49,"{'healthcare reform': 79, 'security': 55, 'budget': 59}",69
Education,0.73,"{'usability': 83, 'curriculum': 56, 'platform': 28}",89
Security,0.87,"{'authentication': 67, 'hacking': 99, 'cyberattacks': 92}",112
Gaming,0.78,"{'storyline': 98, 'graphics': 28, 'VR': 78}",100
Telecommunications,0.31,"{'signal': 31, 'customer support': 53, 'billing': 74}",39
Healthcare,0.76,"{'diagnosis': 35, 'challenges': 21, 'telehealth': 59}",144
Agriculture,0.47,"{'irrigation': 86, 'weather': 85, 'pesticides': 24}",32
Hospitality,0.73,"{'travel': 89, 'tourism': 50, 'hotels': 54}",134
Food & Beverage,0.82,"{'health': 23, 'recipes': 54, 'sustainability': 35}",119
Hospitality,0.66,"{'tourism': 27, 'reviews': 100, 'luxury': 34}",88
Agriculture,0.85,"{'farming': 83, 'livestock': 95, 'soil quality': 70}",60
Automobile,0.67,"{'performance': 83, 'warranty': 84, 'maintenance': 51}",124
Aerospace,0.92,"{'defense': 90, 'missions': 51, 'space travel': 40}",181
Agriculture,0.47,"{'harvest': 84, 'soil quality': 76, 'fertilizers': 30}",104
Healthcare,0.61,"{'patient care': 51, 'challenges': 54, 'wait times': 94}",99
Security,0.71,"{'surveillance': 37, 'cyberattacks': 65, 'data breaches': 33}",139
Energy,0.49,"{'gas': 46, 'nuclear': 52, 'oil': 59}",154
Government,0.05,"{'public services': 93, 'taxation': 90, 'legislation': 68}",118
Gaming,0.32,"{'PC': 58, 'graphics': 63, 'mobile': 94}",53
Gaming,0.47,"{'storyline': 97, 'VR': 75, 'mobile': 38}",74
Agriculture,0.16,"{'fertilizers': 65, 'soil quality': 42, 'sustainability': 78}",46
Entertainment,0.66,"{'reviews': 88, 'content quality': 82, 'box office': 52}",34
Food & Beverage,0.83,"{'health': 97, 'organic': 65, 'recipes': 73}",44
Security,0.46,"{'firewalls': 96, 'passwords': 25, 'authentication': 24}",36
Aerospace,0.44,"{'defense': 91, 'NASA': 75, 'space travel': 24}",126
Retail,0.3,"{'promotions': 36, 'offers': 72, 'loyalty programs': 80}",97
Energy,0.23,"{'sustainability': 38, 'renewable': 81, 'gas': 25}",190
Finance,0.24,"{'banking': 61, 'credit': 42, 'debt': 62}",33
Telecommunications,0.36,"{'infrastructure': 56, '5G': 35, 'data plans': 25}",155
Energy,0.35,"{'gas': 21, 'wind': 87, 'sustainability': 49}",179
Government,0.16,"{'taxation': 56, 'security': 30, 'elections': 91}",44
Telecommunications,0.9,"{'ISP': 45, 'billing': 37, 'roaming': 95}",173
Real Estate,0.09,"{'location': 58, 'construction': 53, 'mortgage': 44}",44
Retail,0.94,"{'promotions': 29, 'pricing': 77, 'availability': 36}",153
Pharmaceuticals,0.22,"{'clinical trials': 23, 'healthcare': 37, 'side effects': 28}",43
Food & Beverage,0.14,"{'organic': 70, 'cuisine': 26, 'recipes': 86}",146
Hospitality,0.99,"{'budget': 53, 'restaurants': 32, 'tourism': 85}",106
Fashion,0.58,"{'seasons': 67, 'designers': 25, 'retail': 94}",90
Healthcare,0.21,"{'challenges': 26, 'medications': 69, 'insurance': 64}",66
Pharmaceuticals,0.43,"{'research': 71, 'medications': 41, 'prescriptions': 100}",42
Pharmaceuticals,0.92,"{'drug development': 66, 'research': 94, 'biotechnology': 51}",151
Aerospace,0.12,"{'aviation': 73, 'rockets': 23, 'defense': 55}",173
E-commerce,0.15,"{'wishlist': 44, 'customer support': 62, 'refund': 62}",188
Pharmaceuticals,0.96,"{'biotechnology': 91, 'research': 52, 'side effects': 47}",189
Retail,0.29,"{'stock': 98, 'discount': 51, 'returns': 42}",191
Entertainment,0.3,"{'music': 35, 'content quality': 73, 'subscriptions': 54}",190
Aerospace,0.89,"{'satellites': 32, 'space travel': 97, 'engineering': 22}",43
Automobile,0.54,"{'design': 23, 'mileage': 55, 'performance': 23}",163
Security,0.53,"{'passwords': 59, 'hacking': 63, 'encryption': 20}",66
Telecommunications,0.07,"{'signal': 73, '5G': 78, 'billing': 81}",154
E-commerce,0.84,"{'customer support': 86, 'checkout': 58, 'delivery': 73}",117
Security,0.66,"{'passwords': 46, 'hacking': 64, 'biometrics': 60}",187
Energy,0.62,"{'renewable': 87, 'power grid': 52, 'solar': 86}",137
Finance,0.65,"{'budgeting': 60, 'debt': 98, 'banking': 93}",95
Aerospace,0.53,"{'defense': 38, 'rockets': 78, 'safety': 28}",105
Hospitality,0.75,"{'reviews': 73, 'reservations': 70, 'service': 80}",56
Education,0.76,"{'exams': 77, 'learning': 31, 'usability': 65}",153
Agriculture,0.21,"{'pesticides': 21, 'sustainability': 100, 'irrigation': 62}",110
Telecommunications,0.75,"{'ISP': 42, 'roaming': 66, 'customer support': 54}",81
Gaming,0.84,"{'updates': 42, 'mobile': 72, 'console': 58}",102
Retail,0.6,"{'availability': 43, 'returns': 49, 'offers': 38}",73
Telecommunications,0.82,"{'customer support': 33, 'coverage': 83, 'data plans': 81}",66
E-commerce,0.12,"{'refund': 46, 'customer support': 54, 'service': 32}",188
Hospitality,0.71,"{'service': 27, 'hotels': 61, 'travel': 28}",102
Finance,0.49,"{'credit': 68, 'interest': 80, 'taxes': 68}",200
Telecommunications,0.39,"{'billing': 43, 'data plans': 37, 'roaming': 67}",84
Security,0.98,"{'biometrics': 32, 'cyberattacks': 43, 'hacking': 33}",109
Pharmaceuticals,0.88,"{'biotechnology': 92, 'medications': 68, 'prescriptions': 93}",141
Technology,0.04,"{'hardware': 93, 'performance': 89, 'AI': 59}",149
Finance,0.58,"{'banking': 92, 'savings': 82, 'interest': 20}",102
E-commerce,0.59,"{'checkout': 94, 'pricing': 99, 'tracking': 82}",177
E-commerce,0.18,"{'tracking': 90, 'checkout': 93, 'discounts': 75}",140
Automobile,0.51,"{'warranty': 63, 'safety': 93, 'insurance': 83}",155
Technology,0.98,"{'performance': 98, 'update': 63, 'hardware': 56}",193
Entertainment,0.61,"{'streaming': 47, 'concerts': 82, 'video games': 71}",33
Education,0.39,"{'curriculum': 88, 'platform': 90, 'usability': 37}",63
Education,0.36,"{'exams': 48, 'interface': 74, 'students': 99}",110
Aerospace,0.51,"{'safety': 88, 'missions': 35, 'satellites': 52}",110
Pharmaceuticals,0.79,"{'medications': 84, 'healthcare': 72, 'side effects': 20}",109
Healthcare,0.6,"{'treatment': 82, 'diagnosis': 82, 'challenges': 34}",135
Automobile,0.65,"{'warranty': 57, 'fuel efficiency': 54, 'design': 76}",172
Retail,0.84,"{'availability': 74, 'promotions': 76, 'pricing': 63}",49
Finance,0.57,"{'banking': 24, 'taxes': 66, 'loan': 89}",66
Entertainment,0.23,"{'music': 32, 'streaming': 37, 'awards': 31}",136
Entertainment,0.64,"{'concerts': 91, 'box office': 31, 'video games': 31}",68
Hospitality,0.21,"{'hotels': 95, 'customer experience': 54, 'budget': 56}",84
Telecommunications,0.93,"{'network': 37, 'customer support': 34, '5G': 39}",182
Real Estate,0.06,"{'mortgage': 63, 'location': 29, 'construction': 30}",128
Agriculture,0.33,"{'harvest': 90, 'sustainability': 27, 'farming': 37}",126
Technology,0.64,"{'software': 66, 'design': 47, 'cloud': 31}",199
Healthcare,0.54,"{'wait times': 87, 'diagnosis': 91, 'access': 53}",31
Fashion,0.8,"{'luxury': 41, 'accessories': 87, 'retail': 22}",143
Government,0.94,"{'regulations': 65, 'legislation': 33, 'budget': 50}",173
Healthcare,0.5,"{'challenges': 93, 'telehealth': 43, 'hospital': 55}",116
Fashion,0.7,"{'designers': 55, 'fabric': 74, 'accessories': 81}",199
Energy,0.78,"{'nuclear': 39, 'oil': 29, 'carbon footprint': 75}",32
Hospitality,0.69,"{'reviews': 83, 'luxury': 30, 'customer experience': 75}",148
Real Estate,0.1,"{'pricing': 50, 'rent': 58, 'construction': 95}",114
Technology,0.59,"{'AI': 61, 'bug': 42, 'update': 93}",73
Aerospace,0.88,"{'defense': 67, 'NASA': 75, 'aviation': 94}",55
Technology,0.23,"{'speed': 87, 'cybersecurity': 38, 'cloud': 34}",106
